Player,Team,Position,GP,MPG,PTS,REB,AST,STL,BLK,TO
V. Wembanyama,SAS,C,71,29:39,21.4,10.6,3.9,1.2,3.6,3.7
N. Jokić,DEN,C,79,34:39,26.4,12.4,9.0,1.4,0.9,3.0
L. Dončić,DAL,"PG,SG",70,37:29,33.9,9.2,9.8,1.4,0.5,4.0
S. Gilgeous-Alexander,OKC,PG,75,34:02,30.1,5.5,6.2,2.0,0.9,2.2
T. Haliburton,IND,"PG,SG",69,32:13,20.1,3.9,10.9,1.2,0.7,2.3
G. Antetokounmpo,MIL,"PF,C",73,35:09,30.4,11.5,6.5,1.2,1.1,3.4
J. Embiid,PHI,C,39,33:33,34.7,11.0,5.6,1.2,1.7,3.8
J. Tatum,BOS,"SF,PF",74,35:44,26.9,8.1,4.9,1.0,0.6,2.5
A. Davis,LAL,"PF,C",76,35:31,24.7,12.6,3.5,1.2,2.3,2.1
K. Durant,PHX,"SF,PF",75,37:12,27.1,6.6,5.0,0.9,1.2,3.3
T. Young,ATL,PG,54,35:57,25.7,2.8,10.8,1.3,0.2,4.4
S. Curry,GSW,"PG,SG",74,32:43,26.4,4.5,5.1,0.7,0.4,2.8
D. Mitchell,CLE,"PG,SG",55,35:18,26.6,5.1,6.1,1.8,0.5,2.8
K. Irving,DAL,"PG,SG",58,35:00,25.6,5.0,5.2,1.3,0.5,1.8
D. Booker,PHX,"PG,SG",68,35:59,27.1,4.5,6.9,0.9,0.4,2.6
A. Edwards,MIN,"SG,SF",79,35:03,25.9,5.4,5.1,1.3,0.5,3.1
D. Sabonis,SAC,C,82,35:42,19.4,13.7,8.2,0.9,0.6,3.3
J. Harden,LAC,"PG,SG",72,34:18,16.6,5.1,8.5,1.1,0.8,2.6
L. Ball,CHA,"PG,SG",22,32:19,23.9,5.1,8.0,1.8,0.2,3.8
S. Barnes,TOR,"SG,SF,PF",60,34:54,19.9,8.2,6.1,1.3,1.5,2.8
J. Brunson,NYK,PG,77,35:24,28.7,3.6,6.7,0.9,0.2,2.4
C. Holmgren,OKC,"PF,C",82,29:25,16.5,7.9,2.4,0.6,2.3,1.6
D. Lillard,MIL,PG,73,35:19,24.3,4.4,7.0,1.0,0.2,2.6
P. George,PHI,"SG,SF,PF",74,33:48,22.6,5.2,3.5,1.5,0.5,2.1
D. Fox,SAC,PG,74,35:55,26.6,4.6,5.6,2.0,0.4,2.6
