Player,Team,Position,GP,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,REB,AST,STL,BLK,TO
V. Wembanyama,SAS,C,72,649/1364,0.476,378/467,0.809,173,1849,855,358,95,305,282
N. Jokić,DEN,C,75,768/1272,0.604,351/428,0.82,83,1970,916,715,94,63,293
L. Dončić,DAL,"PG,SG",68,767/1578,0.486,429/564,0.761,269,2232,626,574,82,40,321
S. Gilgeous-Alexander,OKC,PG,73,749/1437,0.521,589/666,0.884,93,2180,383,437,126,62,183
T. Haliburton,IND,"PG,SG",71,494/1055,0.468,217/251,0.865,205,1410,280,745,102,42,181
G. Antetokounmpo,MIL,"PF,C",68,765/1297,0.59,482/724,0.666,37,2049,796,419,79,82,236
J. Embiid,PHI,C,60,654/1239,0.528,572/659,0.868,76,1956,631,303,69,99,217
J. Tatum,BOS,"SF,PF",74,682/1454,0.469,386/457,0.845,226,1976,566,310,70,46,202
A. Davis,LAL,"PF,C",68,664/1204,0.551,351/438,0.801,29,1708,852,224,83,163,142
K. Durant,PHX,"SF,PF",66,642/1235,0.52,296/347,0.853,142,1722,426,320,56,65,225
T. Young,ATL,PG,72,643/1510,0.426,473/542,0.873,237,1996,228,738,88,7,312
S. Curry,GSW,"PG,SG",67,609/1335,0.456,274/300,0.913,329,1821,321,369,60,23,207
D. Mitchell,CLE,"PG,SG",68,621/1330,0.467,312/362,0.862,232,1786,301,381,105,29,186
K. Irving,DAL,"PG,SG",60,557/1140,0.489,224/250,0.896,178,1516,281,323,79,28,141
D. Booker,PHX,"PG,SG",70,632/1305,0.484,341/396,0.861,146,1751,322,459,68,27,169
A. Edwards,MIN,"SG,SF",79,764/1645,0.464,442/526,0.84,202,2172,436,426,103,52,246
D. Sabonis,SAC,C,75,570/984,0.579,297/406,0.732,44,1481,919,421,72,33,238
J. Harden,LAC,"PG,SG",68,433/996,0.435,336/386,0.87,168,1370,376,669,80,49,214
L. Ball,CHA,"PG,SG",65,510/1230,0.415,250/291,0.859,217,1487,339,534,105,27,222
S. Barnes,TOR,"SG,SF,PF",75,607/1262,0.481,261/330,0.791,140,1615,626,471,95,107,205
J. Brunson,NYK,PG,76,663/1388,0.478,417/496,0.841,184,1927,274,516,70,3,179
C. Holmgren,OKC,"PF,C",79,574/1069,0.537,247/307,0.805,145,1540,670,186,55,212,180
D. Lillard,MIL,PG,71,567/1280,0.443,463/509,0.91,233,1830,313,506,67,18,176
P. George,PHI,"SG,SF,PF",68,485/1054,0.46,214/241,0.888,191,1375,340,277,100,27,266
D. Fox,SAC,PG,75,648/1383,0.469,309/405,0.763,196,1801,313,436,133,31,211
