Player,Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO
V. Wembanyama,SAS - C,649/1364,0.476,378/467,0.809,173,1849,855,358,95,305,282
N. Jokić,DEN - C,768/1272,0.604,351/428,0.82,83,1970,916,715,94,63,293
L. Doncic,"DAL - PG,SG",767/1578,0.486,429/564,0.761,269,2232,626,574,82,40,321
S. Gilgeous-Alexander,OKC - PG,749/1437,0.521,589/666,0.884,93,2180,383,437,126,62,183
T. Haliburton,"IND - PG,SG",494/1055,0.468,217/251,0.865,205,1410,280,745,102,42,181
G. Antetokounmpo,"MIL - PF,C",765/1297,0.59,482/724,0.666,37,2049,796,419,79,82,236
J. Embiid,PHI - C,654/1239,0.528,572/659,0.868,76,1956,631,303,69,99,217
J. Tatum,"BOS - SF,PF",682/1454,0.469,386/457,0.845,226,1976,566,310,70,46,202
A. Davis,"LAL - PF,C",664/1204,0.551,351/438,0.801,29,1708,852,224,83,163,142
K. Durant,"PHX - SF,PF",642/1235,0.52,296/347,0.853,142,1722,426,320,56,65,225
T. Young,ATL - PG,643/1510,0.426,473/542,0.873,237,1996,228,738,88,7,312
S. Curry,"GSW - PG,SG",609/1335,0.456,274/300,0.913,329,1821,321,369,60,23,207
D. Mitchell,"CLE - PG,SG",621/1330,0.467,312/362,0.862,232,1786,301,381,105,29,186
K. Irving,"DAL - PG,SG",557/1140,0.489,224/250,0.896,178,1516,281,323,79,28,141
D. Booker,"PHX - PG,SG",632/1305,0.484,341/396,0.861,146,1751,322,459,68,27,169
A. Edwards,"MIN - SG,SF",764/1645,0.464,442/526,0.84,202,2172,436,426,103,52,246
D. Sabonis,SAC - C,570/984,0.579,297/406,0.732,44,1481,919,421,72,33,238
J. Harden,"LAC - PG,SG",433/996,0.435,336/386,0.87,168,1370,376,669,80,49,214
L. Ball,"CHA - PG,SG",510/1230,0.415,250/291,0.859,217,1487,339,534,105,27,222
S. Barnes,"TOR - SG,SF",607/1262,0.481,261/330,0.791,140,1615,626,471,95,107,205
J. Brunson,NYK - PG,663/1388,0.478,417/496,0.841,184,1927,274,516,70,3,179
C. Holmgren,"OKC - PF,C",574/1069,0.537,247/307,0.805,145,1540,670,186,55,212,180
D. Lillard,MIL - PG,567/1280,0.443,463/509,0.91,233,1830,313,506,67,18,176
P. George,"PHI - SG,SF",485/1054,0.46,214/241,0.888,191,1375,340,277,100,27,266
D. Fox,SAC - PG,648/1383,0.469,309/405,0.763,196,1801,313,436,133,31,211
L. James,"LAL - SF,PF",608/1173,0.518,278/370,0.751,138,1632,459,505,69,36,218
L. Markkanen,"UTA - SF,PF",512/1069,0.479,286/320,0.894,203,1513,556,127,53,35,97
T. Maxey,"PHI - PG,SG",617/1352,0.456,301/350,0.86,212,1747,256,398,71,32,132
D. Murray,"NOP - PG,SG",568/1232,0.461,183/227,0.806,152,1471,417,457,116,27,167
K. Leonard,"LAC - SG,SF",544/1075,0.506,328/376,0.872,146,1562,394,296,85,26,126
J. Jackson Jr.,"MEM - PF,C",513/1046,0.49,298/371,0.803,123,1447,450,126,83,137,140
A. Sengun,HOU - C,646/1187,0.544,309/431,0.717,48,1649,709,391,81,71,240
C. Cunningham,"DET - PG,SG",607/1350,0.45,266/307,0.866,145,1625,289,555,72,48,231
J. Johnson,ATL - PF,494/952,0.519,153/205,0.746,106,1247,633,270,85,63,122
K. Towns,"MIN - PF,C",492/984,0.5,270/306,0.882,137,1391,529,281,61,71,193
B. Adebayo,MIA - C,600/1090,0.55,353/439,0.804,0,1553,733,262,87,70,185
P. Banchero,"ORL - SF,PF",701/1500,0.467,408/555,0.735,141,1951,589,339,62,60,271
F. VanVleet,HOU - PG,383/941,0.407,186/211,0.882,199,1151,264,528,101,29,132
D. Bane,"MEM - SG,SF",557/1189,0.468,215/246,0.874,215,1544,343,310,70,30,114
E. Mobley,"CLE - PF,C",490/839,0.584,173/244,0.709,30,1183,658,237,71,111,127
M. Turner,IND - C,413/789,0.523,207/269,0.77,107,1140,463,96,44,148,84
J. Morant,MEM - PG,576/1218,0.473,395/505,0.782,115,1662,356,536,69,27,238
J. Williams,"OKC - SG,SF",579/1092,0.53,200/244,0.82,123,1481,320,343,87,41,147
D. White,"BOS - PG,SG",375/833,0.45,140/158,0.886,188,1078,283,364,76,79,129
F. Wagner,"ORL - SF,PF",574/1174,0.489,292/341,0.856,123,1563,423,308,82,28,126
